,,Rural India,Rural India,Urban India,Urban India
,Item group,Average MPCE(Rs.),Share in MPCE(%),Average MPCE(Rs.),Share in MPCE(%)
0,Food,1939.0,47.04,2776.0,39.68
1,Non-food,2183.0,52.96,4220.0,60.32
